Geo Point;Geo Shape;gares_id;nom_long;nom;nom_sous;nom_sur;id_ref_lda;nom_lda;id_ref_zdl;nom_zdl;num_mod;mode;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;indice_lig;res_com;exploitant;idf;principal;x;y;picto ligne;nom_iv
48.9591210973967, 2.358742504475762;"{""coordinates"": [2.358742504475762, 48.9591210973967], ""type"": ""Point""}";1127.0;Suzanne Valadon;Suzanne Valadon;;;72397.0;Suzanne Valadon;50686.0;Suzanne Valadon;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01760;C01684;TRAM 5;5;TRAM 5;RATP;1.0;0.0;653041.6366000026;6873431.332699999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;Suzanne Valadon
48.77893639216541, 2.367405864497286;"{""coordinates"": [2.367405864497286, 48.77893639216541], ""type"": ""Point""}";1144.0;Domaine Chérioux;Domaine Chérioux;;;70022.0;Domaine Chérioux;42882.0;Domaine Chérioux;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02134;C01774;TRAM 7;7;TRAM 7;RATP;1.0;0.0;653515.5160999969;6853390.984299999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0;Domaine Chérioux
48.772074215718376, 2.3678150016299617;"{""coordinates"": [2.367815001629962, 48.772074215718376], ""type"": ""Point""}";1145.0;Moulin Vert;Moulin Vert;;;69925.0;Moulin Vert;47693.0;Moulin Vert;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02134;C01774;TRAM 7;7;TRAM 7;RATP;1.0;0.0;653539.4712999985;6852627.7831000015;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0;Moulin Vert
48.78198667157913, 2.180493750928926;"{""coordinates"": [2.180493750928926, 48.78198667157913], ""type"": ""Point""}";1177.0;L’Onde;L’Onde;Maison des Arts;;73918.0;L'Onde - Maison des Arts / Ravel;43501.0;L'Onde (Maison des Arts);0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02149;C01794;TRAM 6;6;TRAM 6;RATP;1.0;0.0;639784.7373000011;6853856.4076999985;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;L’Onde
48.80420493738209, 2.289057253599707;"{""coordinates"": [2.289057253599707, 48.80420493738209], ""type"": ""Point""}";1162.0;Centre de Châtillon;Centre de Châtillon;;;70362.0;Centre de Châtillon;59221.0;Centre de Châtillon;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02149;C01794;TRAM 6;6;TRAM 6;RATP;1.0;0.0;647783.7212999985;6856249.423300002;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;Centre de Châtillon
48.932051821792356, 2.3527019843863393;"{""coordinates"": [2.352701984386339, 48.932051821792356], ""type"": ""Point""}";1180.0;Pierre De Geyter;Pierre De Geyter;;;72292.0;Square de Geyter;50567.0;Square de Geyter;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02150;C01795;TRAM 8;8;TRAM 8;RATP;1.0;0.0;652574.6318000033;6870424.829500001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;Pierre De Geyter
48.93968870773788, 2.345207505927951;"{""coordinates"": [2.345207505927951, 48.93968870773788], ""type"": ""Point""}";1182.0;Paul Éluard;Paul Éluard;;;72335.0;Paul Éluard / Théâtre Gérard Philipe;46334.0;Paul Éluard;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A02150;C01795;TRAM 8;8;TRAM 8;RATP;1.0;0.0;652032.5910999998;6871278.572700001;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;Paul Éluard
48.908527016910185, 2.532287442185067;"{""coordinates"": [2.532287442185067, 48.908527016910185], ""type"": ""Point""}";1218.0;Léon Blum;Léon Blum;;;73362.0;Léon Blum;43430.0;Léon Blum;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01761;C01843;TRAM 4;4;TRAM 4;SNCF;1.0;0.0;665716.5812999979;6867715.984499998;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;Léon Blum
48.90091967973044, 2.556069026584472;"{""coordinates"": [2.556069026584472, 48.90091967973044], ""type"": ""Point""}";1223.0;Notre-Dame-des-Anges;Notre-Dame-des-Anges;;;477285.0;Notre-Dame-des-Anges;479060.0;Notre-Dame-des-Anges;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;0;0;0;A01761;C01843;TRAM 4;4;TRAM 4;SNCF;1.0;0.0;667455.001199998;6866860.000100002;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;Notre-Dame-des-Anges
48.89792357203605, 2.5617143040426065;"{""coordinates"": [2.561714304042606, 48.89792357203605], ""type"": ""Point""}";1224.0;Arboretum;Arboretum;;;478648.0;Arboretum;478647.0;Arboretum;0.0;TRAMWAY;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0;0;0;0;TRAM 4;0;0;A01761;C01843;TRAM 4;4;TRAM 4;SNCF;1.0;0.0;667867.0082999989;6866524.528099999;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;Arboretum
